conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,84678E+18;Thu Oct 17 05:08:00 +0000 2024;0;Tl gua kotor gini bajengaan bahasannya liam redflag abidzar kecil calo tiket konser jeketi;1,84678E+18;;;in;indonesia;0;1;0;https://x.com/AnggiaHanarieva/status/1846780176556085613;417560405;AnggiaHanarieva
1,84668E+18;Thu Oct 17 01:49:38 +0000 2024;0;@hirotakiaa Gas ga sii? Ayo nabung kita beli tiket paling depan itu. Kemarin calo pada ga ngotak ga bayangin muka mereka gimana habis beli tiket 3 juta++ tapi myday gada yg mau beli bahkan sampe konser selesai hahaha;1,84673E+18;;hirotakiaa;in;;0;2;0;https://x.com/urdreamsgirlfie/status/1846730258651009401;1,49896E+18;urdreamsgirlfie
1,84658E+18;Wed Oct 16 15:53:49 +0000 2024;0;biasanya jelang konser kan harga calo tiket pada turun ya... ini enggaaaak malah makin naik. krn yang pingin masuk banyak tp kapasitas penonton nya dikiiiit. jd ya gitu;1,84658E+18;;;in;;0;0;0;https://x.com/zhendemiaw/status/1846580316414316789;1,70176E+18;zhendemiaw
1,84658E+18;Wed Oct 16 15:53:28 +0000 2024;0;Liat venue konser yg sangat2 worth it di section mana pun jadi bayangin misal bangtan konser di situ wkwk tapi mustahil coy gabisa bayangin war nya sesusah apa. Day6 aja temen2ku banyak ga kebagian tiket calo pun di lokasi jarang bgt tadi;1,84658E+18;;;in;Jawa Timur, Indonesia;0;0;0;https://x.com/bonsainamjoon/status/1846580225293111676;282432083;bonsainamjoon
1,84655E+18;Wed Oct 16 14:32:35 +0000 2024;0;@dinday6_ Tiket di calo mahal bang diweb gk menang war;1,84656E+18;;dinday6_;in;;0;0;0;https://x.com/chylli29/status/1846559872550334881;1,16954E+18;chylli29
1,84497E+18;Wed Oct 16 12:47:10 +0000 2024;0;@ruuriizz Namanya tiket konser kan pasti harusnya susah dptinnya siapa cepat dia dpt krn klw ga gercep ya ga kebagian tiketny beli di calo mahal bgt konser dibatalin krn membludak itu mrk mikirnya gmn sih? Heran. Di kira konser 17an di lapangan rame rusuh;1,84653E+18;;ruuriizz;in;;0;0;0;https://x.com/callie_durrel/status/1846533342830964869;1,69256E+18;callie_durrel
1,84642E+18;Wed Oct 16 05:30:01 +0000 2024;0;Tiba2 mimpi nonton konser nct 127 beli tiket ots buat liat jaehyun sblm wamil.. Dan bener2 inget beli ke calo itu Cat 2 dan nawar harganya jadi 2 juta wkwkwkkww apalahh ini;1,84642E+18;;;in;Indonesia;0;0;0;https://x.com/urimilkita/status/1846423330687275249;962107668;urimilkita
1,84637E+18;Wed Oct 16 02:32:34 +0000 2024;0;@selearner_ Ehhh ato mungkin buat ngakalin calo atau penimbunh tiket yang nackal jd mecima tiap h- brp konser suka tbtb jual tiket lagi;1,84638E+18;;selearner_;in;;0;1;0;https://x.com/lattealessugar/status/1846378672468689301;1,20731E+18;lattealessugar
1,84636E+18;Wed Oct 16 01:31:05 +0000 2024;1;ma fren: km ga nonton konser day6 kh? kan myday mumpung di surabaya dikira ngewar tiket tuh ga sambil nangis nangis kali ya iya sih ada calo tapi udah trust issue duluan sama calo gmn y ;1,84636E+18;;;in;;0;1;0;https://x.com/chrstbhng/status/1846363199064756306;1,67312E+18;chrstbhng
1,8462E+18;Tue Oct 15 14:55:08 +0000 2024;0;biasanya di venue konser gitu byk calo tiket ini day6 kok gaada calonya fix sih tiketnya gaib;1,8462E+18;;;in;FA ;0;0;0;https://x.com/mxrkll/status/1846203159485862383;1,32161E+18;mxrkll
